"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"45","Synergeio","src/Synergeio/Customer.java","3","42","Avoid variables with short names like h","Naming Rules","ShortVariable"
"46","Synergeio","src/Synergeio/Diathesimotita.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"47","Synergeio","src/Synergeio/Diathesimotita.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"48","Synergeio","src/Synergeio/Diathesimotita.java","3","14","Private field 'gc1' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"49","Synergeio","src/Synergeio/Diathesimotita.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"50","Synergeio","src/Synergeio/Diathesimotita.java","3","15","Private field 'gc2' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"51","Synergeio","src/Synergeio/Diathesimotita.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"52","Synergeio","src/Synergeio/Diathesimotita.java","3","16","Perhaps 'df1' could be replaced by a local variable.","Design Rules","SingularField"
"53","Synergeio","src/Synergeio/Diathesimotita.java","3","19","Parameter 'etos' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"54","Synergeio","src/Synergeio/Diathesimotita.java","3","19","Parameter 'leptaend' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","Synergeio","src/Synergeio/Diathesimotita.java","3","19","Parameter 'leptastart' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"56","Synergeio","src/Synergeio/Diathesimotita.java","3","19","Parameter 'mera' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"57","Synergeio","src/Synergeio/Diathesimotita.java","3","19","Parameter 'mhnas' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"58","Synergeio","src/Synergeio/Diathesimotita.java","3","36","When instantiating a SimpleDateFormat object, specify a Locale","Design Rules","SimpleDateFormatNeedsLocale"
"59","Synergeio","src/Synergeio/Diathesimotita.java","3","37","Local variable 'formgc1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"60","Synergeio","src/Synergeio/Diathesimotita.java","3","38","Local variable 'formgc2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"61","Synergeio","src/Synergeio/Employee.java","3","3","Package name contains upper case characters","Naming Rules","PackageCase"
"62","Synergeio","src/Synergeio/Employee.java","3","9","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"63","Synergeio","src/Synergeio/Employee.java","3","9","Parameter 'AT' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"64","Synergeio","src/Synergeio/Employee.java","3","9","Parameter 'dieythinsi' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"65","Synergeio","src/Synergeio/Employee.java","3","9","Parameter 'epitheto' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"66","Synergeio","src/Synergeio/Employee.java","3","9","Parameter 'onoma' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"67","Synergeio","src/Synergeio/Employee.java","3","9","Parameter 'thl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"68","Synergeio","src/Synergeio/Ergasia.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"69","Synergeio","src/Synergeio/Ergasia.java","3","12","Abstract classes should be named AbstractXXX","Naming Rules","AbstractNaming"
"70","Synergeio","src/Synergeio/Ergasia.java","3","12","This abstract class does not have any abstract methods","Design Rules","AbstractClassWithoutAbstractMethod"
"71","Synergeio","src/Synergeio/Ergasia.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"72","Synergeio","src/Synergeio/Ergasia.java","3","15","Private field 'date' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"73","Synergeio","src/Synergeio/Ergasia.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"74","Synergeio","src/Synergeio/Ergasia.java","3","16","Perhaps 'df1' could be replaced by a local variable.","Design Rules","SingularField"
"75","Synergeio","src/Synergeio/Ergasia.java","3","19","Parameter 'etos' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"76","Synergeio","src/Synergeio/Ergasia.java","3","19","Parameter 'lepta' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"77","Synergeio","src/Synergeio/Ergasia.java","3","19","Parameter 'mera' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"78","Synergeio","src/Synergeio/Ergasia.java","3","19","Parameter 'mhnas' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"79","Synergeio","src/Synergeio/Ergasia.java","3","19","Parameter 'wra' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"80","Synergeio","src/Synergeio/Ergasia.java","3","31","When instantiating a SimpleDateFormat object, specify a Locale","Design Rules","SimpleDateFormatNeedsLocale"
"81","Synergeio","src/Synergeio/Ergasia.java","3","32","Local variable 'formdate' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"82","Synergeio","src/Synergeio/Fanopoios.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"83","Synergeio","src/Synergeio/Fanopoios.java","3","8","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"84","Synergeio","src/Synergeio/Fanopoios.java","3","8","Parameter 'AT' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"85","Synergeio","src/Synergeio/Fanopoios.java","3","8","Parameter 'dieythinsi' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"86","Synergeio","src/Synergeio/Fanopoios.java","3","8","Parameter 'epitheto' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"87","Synergeio","src/Synergeio/Fanopoios.java","3","8","Parameter 'onoma' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"88","Synergeio","src/Synergeio/Fanopoios.java","3","8","Parameter 'thl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"89","Synergeio","src/Synergeio/Grammateas.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"90","Synergeio","src/Synergeio/Grammateas.java","3","8","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"91","Synergeio","src/Synergeio/Grammateas.java","3","8","Parameter 'AT' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"92","Synergeio","src/Synergeio/Grammateas.java","3","8","Parameter 'dieythinsi' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"93","Synergeio","src/Synergeio/Grammateas.java","3","8","Parameter 'epitheto' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"94","Synergeio","src/Synergeio/Grammateas.java","3","8","Parameter 'onoma' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"95","Synergeio","src/Synergeio/Grammateas.java","3","8","Parameter 'thl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"96","Synergeio","src/Synergeio/Hlektrologos.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"97","Synergeio","src/Synergeio/Hlektrologos.java","3","8","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"98","Synergeio","src/Synergeio/Hlektrologos.java","3","8","Parameter 'AT' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"99","Synergeio","src/Synergeio/Hlektrologos.java","3","8","Parameter 'dieythinsi' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"100","Synergeio","src/Synergeio/Hlektrologos.java","3","8","Parameter 'epitheto' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"101","Synergeio","src/Synergeio/Hlektrologos.java","3","8","Parameter 'onoma' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"102","Synergeio","src/Synergeio/Hlektrologos.java","3","8","Parameter 'thl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"103","Synergeio","src/Synergeio/IstorikoErgasiwn.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"104","Synergeio","src/Synergeio/IstorikoErgasiwn.java","3","9","Avoid variables with short names like e","Naming Rules","ShortVariable"
"105","Synergeio","src/Synergeio/IstorikoErgasiwn.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"106","Synergeio","src/Synergeio/IstorikoErgasiwn.java","3","12","Avoid variables with short names like e","Naming Rules","ShortVariable"
"107","Synergeio","src/Synergeio/IstorikoErgasiwn.java","3","12","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"108","Synergeio","src/Synergeio/IstorikoErgasiwn.java","3","17","Avoid variables with short names like e","Naming Rules","ShortVariable"
"109","Synergeio","src/Synergeio/IstorikoErgasiwn.java","3","17","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"110","Synergeio","src/Synergeio/Mixanikos.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"111","Synergeio","src/Synergeio/Mixanikos.java","3","8","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"112","Synergeio","src/Synergeio/Mixanikos.java","3","8","Parameter 'AT' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"113","Synergeio","src/Synergeio/Mixanikos.java","3","8","Parameter 'dieythinsi' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"114","Synergeio","src/Synergeio/Mixanikos.java","3","8","Parameter 'epitheto' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"115","Synergeio","src/Synergeio/Mixanikos.java","3","8","Parameter 'onoma' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"116","Synergeio","src/Synergeio/Mixanikos.java","3","8","Parameter 'thl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"117","Synergeio","src/Synergeio/Person.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"118","Synergeio","src/Synergeio/Person.java","3","5","Abstract classes should be named AbstractXXX","Naming Rules","AbstractNaming"
"119","Synergeio","src/Synergeio/Person.java","3","5","This abstract class does not have any abstract methods","Design Rules","AbstractClassWithoutAbstractMethod"
"120","Synergeio","src/Synergeio/Person.java","3","23","Parameter 'onoma' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"121","Synergeio","src/Synergeio/Person.java","3","33","Parameter 'epitheto' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"122","Synergeio","src/Synergeio/Person.java","3","43","Parameter 'dieythinsi' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"123","Synergeio","src/Synergeio/Person.java","3","53","Parameter 'thl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"124","Synergeio","src/Synergeio/Person.java","3","63","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"125","Synergeio","src/Synergeio/Person.java","3","63","Parameter 'AT' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"126","Synergeio","src/Synergeio/SynergeioMain.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"127","Synergeio","src/Synergeio/SynergeioMain.java","3","31","Avoid really long classes.","Code Size Rules","ExcessiveClassLength"
"128","Synergeio","src/Synergeio/SynergeioMain.java","3","31","The class 'SynergeioMain' has a Cyclomatic Complexity of 7 (Highest = 16).","Code Size Rules","CyclomaticComplexity"
"129","Synergeio","src/Synergeio/SynergeioMain.java","3","31","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"130","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"131","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"132","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"133","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"134","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"135","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Private field 'cards' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"136","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Private field 'panelEgrPelati' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"137","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Private field 'panelEktPelati' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"138","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Private field 'panelNewTexnikos' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"139","Synergeio","src/Synergeio/SynergeioMain.java","3","33","Private field 'panelTropPelati' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"140","Synergeio","src/Synergeio/SynergeioMain.java","3","34","Avoid excessively long variable names like panelDiathesimotita","Naming Rules","LongVariable"
"141","Synergeio","src/Synergeio/SynergeioMain.java","3","34","Avoid excessively long variable names like panelDiekperaiwshErg","Naming Rules","LongVariable"
"142","Synergeio","src/Synergeio/SynergeioMain.java","3","34","Avoid excessively long variable names like panelNewGrammateas","Naming Rules","LongVariable"
"143","Synergeio","src/Synergeio/SynergeioMain.java","3","34","Avoid excessively long variable names like panelProgramErgasia","Naming Rules","LongVariable"
"144","Synergeio","src/Synergeio/SynergeioMain.java","3","36","Perhaps 'menuBar' could be replaced by a local variable.","Design Rules","SingularField"
"145","Synergeio","src/Synergeio/SynergeioMain.java","3","37","Avoid excessively long variable names like kataxwrhshYpallilwn","Naming Rules","LongVariable"
"146","Synergeio","src/Synergeio/SynergeioMain.java","3","37","Perhaps 'pelatis' could be replaced by a local variable.","Design Rules","SingularField"
"147","Synergeio","src/Synergeio/SynergeioMain.java","3","56","Perhaps 'addpelatiButton' could be replaced by a local variable.","Design Rules","SingularField"
"148","Synergeio","src/Synergeio/SynergeioMain.java","3","62","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"149","Synergeio","src/Synergeio/SynergeioMain.java","3","62","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"150","Synergeio","src/Synergeio/SynergeioMain.java","3","66","Perhaps 'synergeioLB' could be replaced by a local variable.","Design Rules","SingularField"
"151","Synergeio","src/Synergeio/SynergeioMain.java","3","76","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"152","Synergeio","src/Synergeio/SynergeioMain.java","3","76","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"153","Synergeio","src/Synergeio/SynergeioMain.java","3","76","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"154","Synergeio","src/Synergeio/SynergeioMain.java","3","76","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"155","Synergeio","src/Synergeio/SynergeioMain.java","3","76","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"156","Synergeio","src/Synergeio/SynergeioMain.java","3","78","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"157","Synergeio","src/Synergeio/SynergeioMain.java","3","78","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"158","Synergeio","src/Synergeio/SynergeioMain.java","3","78","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"159","Synergeio","src/Synergeio/SynergeioMain.java","3","78","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"160","Synergeio","src/Synergeio/SynergeioMain.java","3","78","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"161","Synergeio","src/Synergeio/SynergeioMain.java","3","80","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"162","Synergeio","src/Synergeio/SynergeioMain.java","3","81","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"163","Synergeio","src/Synergeio/SynergeioMain.java","3","87","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"164","Synergeio","src/Synergeio/SynergeioMain.java","3","88","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"165","Synergeio","src/Synergeio/SynergeioMain.java","3","94","Local variable 'frame' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"166","Synergeio","src/Synergeio/SynergeioMain.java","3","97","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"167","Synergeio","src/Synergeio/SynergeioMain.java","3","106","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"168","Synergeio","src/Synergeio/SynergeioMain.java","3","106","The constructor 'SynergeioMain' has a Cyclomatic Complexity of 16.","Code Size Rules","CyclomaticComplexity"
"169","Synergeio","src/Synergeio/SynergeioMain.java","3","106","The constructor with 0 parameters has an NCSS line count of 556","Code Size Rules","NcssConstructorCount"
"170","Synergeio","src/Synergeio/SynergeioMain.java","3","207","The String literal 'Book Antiqua' appears 10 times in this file; the first occurrence is on line 207","String and StringBuffer Rules","AvoidDuplicateLiterals"
"171","Synergeio","src/Synergeio/SynergeioMain.java","3","217","The String literal 'Όνομα' appears 5 times in this file; the first occurrence is on line 217","String and StringBuffer Rules","AvoidDuplicateLiterals"
"172","Synergeio","src/Synergeio/SynergeioMain.java","3","226","The String literal 'Επίθετο' appears 5 times in this file; the first occurrence is on line 226","String and StringBuffer Rules","AvoidDuplicateLiterals"
"173","Synergeio","src/Synergeio/SynergeioMain.java","3","235","The String literal 'Διεύθυνση' appears 5 times in this file; the first occurrence is on line 235","String and StringBuffer Rules","AvoidDuplicateLiterals"
"174","Synergeio","src/Synergeio/SynergeioMain.java","3","244","The String literal 'Τηλέφωνο' appears 5 times in this file; the first occurrence is on line 244","String and StringBuffer Rules","AvoidDuplicateLiterals"
"175","Synergeio","src/Synergeio/SynergeioMain.java","3","413","Local variable 'label_16' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"176","Synergeio","src/Synergeio/SynergeioMain.java","3","419","Local variable 'label_15' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"177","Synergeio","src/Synergeio/SynergeioMain.java","3","429","Local variable 'label_10' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"178","Synergeio","src/Synergeio/SynergeioMain.java","3","438","Local variable 'label_11' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"179","Synergeio","src/Synergeio/SynergeioMain.java","3","786","Avoid variables with short names like e","Naming Rules","ShortVariable"
"180","Synergeio","src/Synergeio/SynergeioMain.java","3","786","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"181","Synergeio","src/Synergeio/SynergeioMain.java","3","797","Avoid variables with short names like e","Naming Rules","ShortVariable"
"182","Synergeio","src/Synergeio/SynergeioMain.java","3","797","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"183","Synergeio","src/Synergeio/SynergeioMain.java","3","812","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"184","Synergeio","src/Synergeio/SynergeioMain.java","3","822","Avoid variables with short names like e","Naming Rules","ShortVariable"
"185","Synergeio","src/Synergeio/SynergeioMain.java","3","822","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"186","Synergeio","src/Synergeio/SynergeioMain.java","3","867","Avoid variables with short names like e","Naming Rules","ShortVariable"
"187","Synergeio","src/Synergeio/SynergeioMain.java","3","975","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"188","Synergeio","src/Synergeio/SynergeioMain.java","3","1003","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"189","Synergeio","src/Synergeio/SynergeioMain.java","3","1032","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"190","Synergeio","src/Synergeio/SynergeioMain.java","3","1058","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"191","Synergeio","src/Synergeio/SynergeioMain.java","5","1073","Found 'DU'-anomaly for variable 'eidikotita' (lines '1.073'-'1.112').","Controversial Rules","DataflowAnomalyAnalysis"
"192","Synergeio","src/Synergeio/SynergeioMain.java","3","1083","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"193","Synergeio","src/Synergeio/SynergeioMain.java","5","1085","Found 'DD'-anomaly for variable 't' (lines '1.085'-'1.088').","Controversial Rules","DataflowAnomalyAnalysis"
